id,BDL_10001,BDL_10002,BDL_10003,BDL_10004,BDL_10010,BDL_10011,BDL_10012
L2808,553.0,553.0,23.9,31.799999,1.0,0.0,100.0
L2703,658.0,658.0,16.799999,48.299999,1.0,1.0,50.0
L2779,655.0,655.0,26.5,52.799999,1.0,1.0,70.0
L2702,651.0,651.0,16.200001,43.299999,1.0,1.0,50.0
L2704,590.0,590.0,17.5,48.099998,1.0,1.0,50.0
L2705,509.0,509.0,16.299999,42.200001,1.0,1.0,50.0
L2778,497.0,497.0,21.200001,37.900002,1.0,1.0,70.0
L1111,623.0,623.0,48.900002,33.799999,0.0,0.0,367.0
L1112,623.0,623.0,38.099998,28.1,0.0,0.0,367.0
L1116,535.0,535.0,45.700001,,0.0,0.0,324.0
L1117,535.0,535.0,35.700001,,0.0,0.0,324.0
L1316,535.0,535.0,36.200001,,0.0,0.0,324.0
H1586,308.0,,24.799999,,0.0,0.0,48.0
L1255,274.0,274.0,32.5,,0.0,0.0,105.0
L1257,274.0,274.0,34.900002,,0.0,0.0,105.0
L1884,795.0,795.0,39.700001,58.200001,0.0,1.0,127.0
L2016,686.0,686.0,31.799999,50.299999,0.0,1.0,140.0
L1269,681.0,681.0,45.599998,52.400002,0.0,1.0,150.0
L1110,603.0,603.0,54.799999,54.200001,0.0,1.0,331.0
L1113,584.0,584.0,46.599998,,0.0,1.0,373.0
L1115,584.0,584.0,49.0,,0.0,1.0,373.0
L1114,560.0,560.0,47.900002,,0.0,1.0,373.0
L1109,436.0,436.0,51.799999,,0.0,1.0,331.0
L1268,380.0,380.0,49.400002,34.099998,0.0,1.0,150.0
L1920,378.0,378.0,39.900002,58.0,0.0,1.0,127.0
H1587,308.0,,23.6,,0.0,1.0,48.0
L1588,57.0,57.0,,,0.0,1.0,48.0
L2177,812.0,812.0,32.0,37.0,0.0,0.0,99.0
L2178,734.0,734.0,21.9,35.700001,0.0,0.0,99.0
L2179,716.0,716.0,30.799999,33.599998,0.0,0.0,99.0
L2176,698.0,698.0,34.400002,38.400002,0.0,0.0,99.0
L1129,694.0,694.0,38.099998,42.900002,0.0,0.0,142.0
L1120,632.0,632.0,34.599998,29.4,0.0,0.0,382.0
L2180,616.0,616.0,32.599998,35.799999,0.0,0.0,99.0
L1127,600.0,600.0,33.200001,31.200001,0.0,0.0,355.0
L1128,600.0,600.0,29.0,25.200001,0.0,0.0,355.0
L1125,586.0,586.0,38.799999,32.5,0.0,0.0,355.0
L1126,550.0,550.0,36.700001,,0.0,0.0,355.0
L1119,543.0,543.0,29.0,,0.0,0.0,382.0
L1130,398.0,398.0,32.099998,31.200001,0.0,0.0,142.0
L1139,641.0,641.0,42.700001,54.700001,0.0,1.0,137.0
L1133,614.0,614.0,45.299999,59.799999,0.0,1.0,142.0
L1121,547.0,547.0,46.700001,,0.0,1.0,336.0
L1122,547.0,547.0,48.400002,,0.0,1.0,336.0
L1123,547.0,547.0,49.099998,,0.0,1.0,336.0
L1124,547.0,547.0,45.099998,,0.0,1.0,336.0
L2297,1252.0,1252.0,37.5,45.0,0.0,0.0,99.0
L2299,954.0,954.0,35.5,43.099998,0.0,0.0,99.0
L2298,925.0,925.0,33.900002,39.700001,0.0,0.0,99.0
L2296,881.0,881.0,33.900002,45.5,0.0,0.0,99.0
L2295,663.0,663.0,35.599998,42.200001,0.0,0.0,99.0
L1220,103.0,103.0,,,0.0,0.0,106.0
L1430,979.0,979.0,50.599998,59.700001,0.0,1.0,245.0
L1431,944.0,944.0,50.799999,57.200001,0.0,1.0,245.0
L2301,924.0,924.0,48.099998,60.299999,0.0,1.0,99.0
L1571,910.0,910.0,51.099998,60.0,0.0,1.0,245.0
L2302,866.0,866.0,49.799999,63.299999,0.0,1.0,99.0
L1771,802.0,802.0,52.5,60.5,0.0,1.0,245.0
L2300,754.0,754.0,47.599998,56.700001,0.0,1.0,99.0
L2304,634.0,634.0,48.400002,60.700001,0.0,1.0,99.0
L2303,595.0,595.0,48.299999,59.599998,0.0,1.0,99.0
L1218,357.0,357.0,47.900002,53.799999,0.0,1.0,146.0
L1307,947.0,947.0,42.200001,50.5,0.0,0.0,113.0
L1175,861.0,861.0,43.400002,53.5,0.0,0.0,113.0
L1161,385.0,385.0,49.200001,52.0,0.0,0.0,140.0
L1151,988.0,988.0,59.099998,74.599998,0.0,1.0,144.0
L1167,898.0,898.0,54.799999,69.699997,0.0,1.0,487.0
L1317,876.0,876.0,51.0,58.700001,0.0,1.0,113.0
L2006,579.0,579.0,50.700001,66.800003,0.0,1.0,156.0
L1152,416.0,416.0,61.599998,72.699997,0.0,1.0,144.0
L1157,335.0,335.0,50.0,56.099998,0.0,1.0,140.0
L1437,310.0,310.0,46.0,,0.0,1.0,81.0
L2876,135.0,135.0,,,0.0,0.0,49.0
L0203,594.0,594.0,48.599998,50.0,0.0,1.0,172.0
L0202,478.0,478.0,50.900002,,0.0,1.0,172.0
L2682,799.0,799.0,36.0,51.400002,0.0,0.0,100.0
